sample	cluster	ST	Species	Dataset	Host	Source	year
SRR11094166	22	457	Escherichia coli	Contextual	Human	Context	2018
SRR13209812	29	641	Escherichia coli	Contextual	Human	Context	2017
SB279407425	4	998	Escherichia coli	SB27	Human	Human	2019
SB279406683	19	69	Escherichia coli	SB27	Human	Human	2018
SB278344724	28	2015	Escherichia coli	SB27	Human	Human	
SRR7221265	29	33	Escherichia coli	Contextual	Human	Context	2018
SB2710441820	24	-	Escherichia coli	SB27	Turkey	Animal	2021
SB279407301	19	69	Escherichia coli	SB27	Human	Human	2019
SB279408201	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SB278344690	14	95	Escherichia coli	SB27	Human	Human	
SRR14138360	12	162	Escherichia coli	Contextual	Canine	Context	2017
SRR10310412	22	648	Escherichia coli	Contextual	Human	Context	2016
SRR5970424	29	847	Escherichia coli	Contextual	Water/River	Context	2017
SB2710442283	15	401	Escherichia coli	SB27	Pork	Animal	2019
SB279408314	28	6949	Escherichia coli	SB27	Turkey	Animal	2019
SB278791232	29	1665	Escherichia coli	SB27	Pork	Animal	2018
SB279406780	21	131	Escherichia coli	SB27	Human	Human	2019
SB2710442924	23	10	Escherichia coli	SB27	Turkey	Animal	2020
SRR14138297	29	25	Escherichia coli	Contextual	Human	Context	2017
SRR7401659	8	11	Escherichia coli	Contextual	Human	Context	2017
SRR10194768	8	11	Escherichia coli	Contextual	Bovine	Context	2017
SRR7724562	19	-	Escherichia coli	Contextual	Avian	Context	2017
SB278791634	26	10276	Escherichia coli	SB27	Human	Human	2017
SB278791569	9	23	Escherichia coli	SB27	Pork	Animal	2018
SB278344947	4	141	Escherichia coli	SB27	Human	Human	
SB2710442623	29	642	Escherichia coli	SB27	Beef	Animal	2019
SB278791084	5	569	Escherichia coli	SB27	Human	Human	2018
SB2710442401	27	-	Escherichia coli	SB27	Beef	Animal	2019
SB2710442607	15	401	Escherichia coli	SB27	Pork	Animal	2019
SB2710442918	5	569	Escherichia coli	SB27	Turkey	Animal	2020
SB278790846	28	1643	Escherichia coli	SB27	Human	Human	2018
SRR11354631	13	38	Escherichia coli	Contextual	Human	Context	2018
SRR7221035	8	11	Escherichia coli	Contextual	Human	Context	2018
SRR9924615	13	38	Escherichia coli	Contextual	Human	Context	2017
SRR6052051	8	1833	Escherichia coli	Contextual	Human	Context	2016
SB278791507	25	2485	Escherichia coli	SB27	Chicken	Animal	2018
SB279408275	27	515	Escherichia coli	SB27	Beef	Animal	2019
SB2710442876	29	3549	Escherichia coli	SB27	Turkey	Animal	2020
SB279407899	23	34	Escherichia coli	SB27	Turkey	Animal	2019
SB279407968	29	3188	Escherichia coli	SB27	Beef	Animal	2019
SB279407250	13	1177	Escherichia coli	SB27	Human	Human	2019
SB2710442155	29	297	Escherichia coli	SB27	Beef	Animal	2018
SB279408899	2	127	Escherichia coli	SB27	Human	Human	2020
SB279407007	28	491	Escherichia coli	SB27	Human	Human	2019
SRR5043174	29	17	Escherichia coli	Contextual	Bovine	Context	2016
SB2710441445	12	3580	Escherichia coli	SB27	Turkey	Animal	2021
SB2710442013	23	10	Escherichia coli	SB27	Beef	Animal	2018
SB279406817	25	3018	Escherichia coli	SB27	Human	Human	2019
SB278791724	14	95	Escherichia coli	SB27	Human	Human	2017
SB278790724	21	131	Escherichia coli	SB27	Human	Human	2018
SB279408128	1	349	Escherichia coli	SB27	Turkey	Animal	2019
SB2710442078	29	2175	Escherichia coli	SB27	Pork	Animal	2018
SB2710441574	18	117	Escherichia coli	SB27	Pork	Animal	2018
SB278344873	1	349	Escherichia coli	SB27	Human	Human	
SB278791832	7	101	Escherichia coli	SB27	Chicken	Animal	2018
SB279407117	10	1193	Escherichia coli	SB27	Human	Human	2019
SB279406883	28	-	Escherichia coli	SB27	Human	Human	2019
SB279406806	16	73	Escherichia coli	SB27	Human	Human	2019
SRR14138290	29	1295	Escherichia coli	Contextual	Human	Context	2017
SB279408489	13	38	Escherichia coli	SB27	Chicken	Animal	2019
SB2710442449	11	4774	Escherichia coli	SB27	Pork	Animal	2019
SB2710442132	27	1139	Escherichia coli	SB27	Beef	Animal	2018
SRR7501040	23	10	Escherichia coli	Contextual	Poultry	Context	2018
SB2710443008	25	7233	Escherichia coli	SB27	Pork	Animal	2020
SB279408107	19	69	Escherichia coli	SB27	Turkey	Animal	2019
SRR14861814	27	361	Escherichia coli	Contextual	Human	Context	2016
SB279406488	1	349	Escherichia coli	SB27	Chicken	Animal	2018
SB278790370	16	73	Escherichia coli	SB27	Human	Human	2018
SB2710442217	7	101	Escherichia coli	SB27	Beef	Animal	2019
SB279407206	22	62	Escherichia coli	SB27	Human	Human	2019
SRR14138301	29	224	Escherichia coli	Contextual	Canine	Context	2017
SRR7367468	8	11	Escherichia coli	Contextual	Human	Context	2017
SB278344679	19	69	Escherichia coli	SB27	Human	Human	
SRR6683742	13	38	Escherichia coli	Contextual	Avian	Context	2017
SRR12206304	24	4537	Escherichia coli	Contextual	Poultry	Context	2018
SRR6793693	27	7207	Escherichia coli	Contextual	Bovine	Context	2018
SRR12206260	6	8802	Escherichia coli	Contextual	Poultry	Context	2018
SB279407087	29	2186	Escherichia coli	SB27	Human	Human	2019
SB279407046	26	2076	Escherichia coli	SB27	Human	Human	2019
SB279407887	18	117	Escherichia coli	SB27	Chicken	Animal	2019
SB278790745	10	1193	Escherichia coli	SB27	Human	Human	2017
SB2710441595	27	8608	Escherichia coli	SB27	Beef	Animal	2018
SB278791252	23	744	Escherichia coli	SB27	Turkey	Animal	2018
SRR8040823	29	8556	Escherichia coli	Contextual	Plant	Context	2018
SRR7382976	29	306	Escherichia coli	Contextual	Avian	Context	2018
SB278344708	14	95	Escherichia coli	SB27	Human	Human	
SB279407985	17	428	Escherichia coli	SB27	Chicken	Animal	2019
SB278344703	16	73	Escherichia coli	SB27	Human	Human	
SB279407479	10	404	Escherichia coli	SB27	Human	Human	2019
SB2710443041	29	7624	Escherichia coli	SB27	Turkey	Animal	2020
SB278790475	16	73	Escherichia coli	SB27	Human	Human	2018
SB279408831	18	117	Escherichia coli	SB27	Turkey	Animal	2019
SB278790454	10	1193	Escherichia coli	SB27	Human	Human	2018
SB279408916	28	372	Escherichia coli	SB27	Human	Human	2020
SB2710442375	29	2079	Escherichia coli	SB27	Beef	Animal	2019
SB279407041	17	555	Escherichia coli	SB27	Human	Human	2019
SRR11094163	22	354	Escherichia coli	Contextual	Human	Context	2018
SB279407064	2	127	Escherichia coli	SB27	Human	Human	2019
SB279406667	23	1141	Escherichia coli	SB27	Turkey	Animal	2018
SRR11473216	18	-	Escherichia coli	Contextual	Poultry	Context	2016
SB279408835	20	155	Escherichia coli	SB27	Turkey	Animal	2019
SRR11473251	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SRR8926909	27	361	Escherichia coli	Contextual	Canine	Context	2018
SB278791707	10	1193	Escherichia coli	SB27	Human	Human	2017
SRR7458242	14	95	Escherichia coli	Contextual	Bovine	Context	2018
SB2710442325	23	-	Escherichia coli	SB27	Pork	Animal	2019
SB278791633	14	95	Escherichia coli	SB27	Human	Human	2017
SB278790571	16	73	Escherichia coli	SB27	Human	Human	2018
SB278791233	29	109	Escherichia coli	SB27	Pork	Animal	2018
SB278344939	5	420	Escherichia coli	SB27	Human	Human	
SRR7724619	10	1193	Escherichia coli	Contextual	Avian	Context	2017
SB2710442967	20	58	Escherichia coli	SB27	Beef	Animal	2020
SB279407256	14	95	Escherichia coli	SB27	Human	Human	2019
SB279407812	16	73	Escherichia coli	SB27	Human	Human	2020
SRR4897083	8	11	Escherichia coli	Contextual	Human	Context	2016
SB278344641	14	95	Escherichia coli	SB27	Human	Human	
SB279408189	29	345	Escherichia coli	SB27	Pork	Animal	2019
SB279407827	29	278	Escherichia coli	SB27	Beef	Animal	2019
SRR11550952	9	3249	Escherichia coli	Contextual	Bovine	Context	2016
SB279407275	16	73	Escherichia coli	SB27	Human	Human	2019
SB279407787	11	635	Escherichia coli	SB27	Human	Human	2020
SB278344996	19	69	Escherichia coli	SB27	Human	Human	
SB2710442280	29	5296	Escherichia coli	SB27	Beef	Animal	2019
SRR14138331	29	2178	Escherichia coli	Contextual	Human	Context	2017
SB279407279	14	-	Escherichia coli	SB27	Human	Human	2019
SB278791476	19	69	Escherichia coli	SB27	Turkey	Animal	2018
SB279406386	21	131	Escherichia coli	SB27	Chicken	Animal	2018
SB2710441950	29	-	Escherichia coli	SB27	Beef	Animal	2018
SB279408481	15	5308	Escherichia coli	SB27	Turkey	Animal	2019
SB279407098	19	69	Escherichia coli	SB27	Human	Human	2019
SB278344802	19	69	Escherichia coli	SB27	Human	Human	
SRR12206281	2	127	Escherichia coli	Contextual	Human	Context	2018
SB278790865	4	141	Escherichia coli	SB27	Human	Human	2018
SB279407080	10	1193	Escherichia coli	SB27	Human	Human	2019
SB2710442203	9	410	Escherichia coli	SB27	Pork	Animal	2019
SB278791418	29	278	Escherichia coli	SB27	Beef	Animal	2018
SRR6121986	24	6605	Escherichia coli	Contextual	Swine	Context	2017
SB279406417	24	6753	Escherichia coli	SB27	Chicken	Animal	2018
SB278790916	14	95	Escherichia coli	SB27	Human	Human	2018
SB278790296	5	569	Escherichia coli	SB27	Human	Human	2018
SB279408261	25	1011	Escherichia coli	SB27	Beef	Animal	2019
SB279407938	28	355	Escherichia coli	SB27	Turkey	Animal	2019
SB279407333	19	69	Escherichia coli	SB27	Human	Human	2019
SB2710442204	29	8860	Escherichia coli	SB27	Beef	Animal	2019
SRR4875346	6	747	Escherichia coli	Contextual	Plant	Context	2016
SB2710441509	27	1434	Escherichia coli	SB27	Beef	Animal	2021
SB278790845	21	131	Escherichia coli	SB27	Human	Human	2018
SB279408729	17	1385	Escherichia coli	SB27	Turkey	Animal	2020
SB279406732	14	95	Escherichia coli	SB27	Human	Human	2019
SB279406476	29	224	Escherichia coli	SB27	Turkey	Animal	2018
SB2710442338	11	4774	Escherichia coli	SB27	Pork	Animal	2019
SB279407059	10	1193	Escherichia coli	SB27	Human	Human	2019
SB279408580	29	442	Escherichia coli	SB27	Chicken	Animal	2019
SB278345028	14	95	Escherichia coli	SB27	Human	Human	
SB279407155	29	442	Escherichia coli	SB27	Human	Human	2019
SRR7186463	27	1122	Escherichia coli	Contextual	Bovine	Context	2017
SRR9924628	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278791535	29	1844	Escherichia coli	SB27	Chicken	Animal	2018
SB278344991	2	127	Escherichia coli	SB27	Human	Human	
SB2710442006	27	1316	Escherichia coli	SB27	Pork	Animal	2018
SB279407113	21	131	Escherichia coli	SB27	Human	Human	2019
SB278790493	16	73	Escherichia coli	SB27	Human	Human	2018
SB279407896	18	117	Escherichia coli	SB27	Turkey	Animal	2019
SB279407404	19	69	Escherichia coli	SB27	Human	Human	2019
SB278791617	14	95	Escherichia coli	SB27	Human	Human	2017
SRR9586714	16	73	Escherichia coli	Contextual	Avian	Context	2018
SB279407108	3	12	Escherichia coli	SB27	Human	Human	2019
SB279407328	19	69	Escherichia coli	SB27	Human	Human	2019
SB279407063	2	127	Escherichia coli	SB27	Human	Human	2019
SB279406701	16	73	Escherichia coli	SB27	Human	Human	2019
SB2710442940	15	401	Escherichia coli	SB27	Pork	Animal	2020
SB279407314	19	69	Escherichia coli	SB27	Human	Human	2019
SB278791078	17	357	Escherichia coli	SB27	Human	Human	2018
SB278344739	26	-	Escherichia coli	SB27	Human	Human	
SB2710442301	29	446	Escherichia coli	SB27	Beef	Animal	2019
SB278791782	29	602	Escherichia coli	SB27	Chicken	Animal	2018
SRR12206263	24	2036	Escherichia coli	Contextual	Poultry	Context	2018
SB279407265	14	95	Escherichia coli	SB27	Human	Human	2019
SB278790448	21	131	Escherichia coli	SB27	Human	Human	2018
SB279408811	27	1434	Escherichia coli	SB27	Beef	Animal	2020
SB278791303	29	711	Escherichia coli	SB27	Beef	Animal	2018
SRR6001159	25	137	Escherichia coli	Contextual	Human	Context	2017
SB278791701	4	141	Escherichia coli	SB27	Human	Human	2017
SB278344689	24	7331	Escherichia coli	SB27	Human	Human	
SB278790901	3	12	Escherichia coli	SB27	Human	Human	2018
SRR12206219	26	394	Escherichia coli	Contextual	Poultry	Context	2018
SB279406976	2	127	Escherichia coli	SB27	Human	Human	2019
SRR8313111	20	58	Escherichia coli	Contextual	Bovine	Context	2018
SRR7286495	8	11	Escherichia coli	Contextual	Human	Context	2018
SB279408780	29	2040	Escherichia coli	SB27	Chicken	Animal	2020
SB278344753	13	38	Escherichia coli	SB27	Human	Human	
SB278344569	19	69	Escherichia coli	SB27	Human	Human	
SRR12206290	23	10	Escherichia coli	Contextual	Human	Context	2018
SB279407924	29	336	Escherichia coli	SB27	Beef	Animal	2019
SB2710442118	11	399	Escherichia coli	SB27	Beef	Animal	2018
SB278790674	2	127	Escherichia coli	SB27	Human	Human	2018
SB279408691	1	349	Escherichia coli	SB27	Chicken	Animal	2020
SB2710442354	29	345	Escherichia coli	SB27	Pork	Animal	2019
SB2710442094	27	607	Escherichia coli	SB27	Beef	Animal	2018
SB278790709	14	2619	Escherichia coli	SB27	Human	Human	2018
SB279406426	29	1081	Escherichia coli	SB27	Chicken	Animal	2018
SB278790249	16	73	Escherichia coli	SB27	Human	Human	2018
SB278344976	3	12	Escherichia coli	SB27	Human	Human	
SB279406878	3	12	Escherichia coli	SB27	Human	Human	2019
SB279406898	21	131	Escherichia coli	SB27	Human	Human	2019
SB2710442645	29	906	Escherichia coli	SB27	Beef	Animal	2019
SRR12206294	23	10	Escherichia coli	Contextual	Human	Context	2018
SRR12206283	23	10	Escherichia coli	Contextual	Human	Context	2018
SB278790521	21	131	Escherichia coli	SB27	Human	Human	2018
SRR14138357	28	372	Escherichia coli	Contextual	Canine	Context	2017
SB278344585	14	95	Escherichia coli	SB27	Human	Human	
SB278791695	29	5418	Escherichia coli	SB27	Human	Human	2017
SB278791293	12	3580	Escherichia coli	SB27	Turkey	Animal	2018
SB279408287	24	-	Escherichia coli	SB27	Pork	Animal	2019
SB279408085	25	1204	Escherichia coli	SB27	Beef	Animal	2019
SB2710441451	28	491	Escherichia coli	SB27	Turkey	Animal	2021
SB2710442018	29	164	Escherichia coli	SB27	Beef	Animal	2018
SRR14138267	20	8679	Escherichia coli	Contextual	Human	Context	2017
SRR8632516	2	127	Escherichia coli	Contextual	Canine	Context	2018
SB2710441589	29	1148	Escherichia coli	SB27	Beef	Animal	2018
SB279407136	23	10	Escherichia coli	SB27	Human	Human	2019
SRR12206298	26	414	Escherichia coli	Contextual	Human	Context	2018
SRR7031326	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SRR14138346	27	1972	Escherichia coli	Contextual	Human	Context	2017
SB279407437	21	131	Escherichia coli	SB27	Human	Human	2019
SB2710442374	27	1316	Escherichia coli	SB27	Beef	Animal	2019
SRR9924602	13	38	Escherichia coli	Contextual	Human	Context	2017
